start	end	text
0	2040	新手機能被黑客死機
3400	4560	這共產黨太厲害了
5240	6760	說到這能給黑死機
6840	8600	剛才第一次被死機
8960	12000	我的所有的手機都已經看都不能用了
12480	13240	什麼都沒了
13560	14280	啥都沒了
14360	17200	就我連那個拍照片那個美容軟件都沒了
18240	19720	這幫孫子太狠了
20400	21760	我也接著給大家說吧
22640	23640	說兄弟姐妹們
24040	26520	你知道更誇張的是什麼
27160	29120	就在這個G20前後
29680	31240	在歐洲在美國
32120	34560	所有的經濟體
35840	36640	科技體
37360	38440	都在審核
39200	40120	共產黨
40800	45880	到底還有什麼能控制我們的手段和資源
46520	48240	列如加拿大
49120	51760	當時倒閉的北方電器
52240	55600	列如加拿大的所有通信設施
56280	57840	所有的5G網路
57960	61240	列入加拿大的跟中共已經合資的銀行
61560	63800	包括大量的土地被買走的
65040	67240	哇這個事大了
67840	69400	然後日本現在回去
69400	72120	悄悄的已經全面開始了解
72600	75240	在日本中共的大額投資者
75640	77040	那旺北樓是吧
79080	80720	帝國酒店是吧
81360	82480	所有的這些地方
83560	84680	日本都在墨地
85720	87320	就是一個戰前準備
88280	89800	而且在台灣問題上
90240	92400	這些國家真正的瞭解一個知道
92400	96080	哇共產黨真的是準備隨時幹台灣
96520	99440	不是假的是真的很嚴肅很認真
99800	101120	一旦打台灣咋辦
102400	104120	只有七哥告訴了全世界
104480	109000	台灣的台積電必須把人和技術移到美國去
109400	110920	必須投到美國去
111240	112640	必須把一些移走
112640	114800	否則都給你搶走搶到大陸去
115800	118200	2018年我就這麼說
118480	120080	當我到美國去說的時候
120080	122480	很多美國人覺得我神經病啊
124000	125680	我現在我是學聰明了
126000	129240	以後我才不浪費這痛苦心思給他們這幫人說呢
129560	132080	他們不打到身上他永遠不知道疼
132080	133480	咱給人家說這幹啥
133880	135400	咱不說對吧
135880	137400	讓他們去折騰去吧
139200	141640	但是有時候為了新中國聯邦的建設
142160	144000	為了世界多一點和平
144000	145800	為了少一些人受到傷害
146320	150160	咱們還是擋不住內心對正義的衝動
151600	153160	可是G20這個會
153600	156440	完全驗證了我們爆料革命新中國聯邦
156880	161400	對整個共產黨的這個要統治全世界
162400	168080	對全世界的藍金黃3F計劃等等等等的一切
169960	173560	這個G20幾乎是上天給我們爆料革命的
173640	175840	爆料革命送來最大的禮物
176400	179600	讓習太陽親身獻身說法
180000	184240	告訴全世界我想管你們我要統治你們
185320	187840	你們死求一千多萬人的疫苗的事情
187840	189680	不准提病毒的事情
190120	191880	病毒這一千多萬就白死了
192680	194560	那實際上絕不死一千多萬
194960	198080	病毒疫苗接了死多少人別談
199000	203640	是吧中國把你的過去幾十年的供應鏈給壟斷了
203920	206600	咋地吧你不跟我玩我就整你了
206880	208640	我讓你經濟亂咋地吧
210080	213760	你們民主是沒有未來的必須是要獨裁的政治
214200	216480	你要到叫獨裁政治跟我學
218720	221400	把你們很多國家是吧你們反對你們的人
221400	223560	都像變成新疆一樣的集中營
224040	226680	變成香港一樣不就好了嗎是吧
227680	231760	所有的科技所有的Wi-Fi天空的信量
232040	234200	都應該成為統治階級的武器
235920	237840	只要你跟我玩怎麼都好
238760	241040	這兩天伊朗要出事是吧
241360	246400	聽說中共又派了幾架飛機帶著科技通信人才
246680	252160	幫助整個伊朗的這個運動的最後的爆發狀態
252480	253520	還維護了政權
254480	256920	我從2017年到今年說
257160	260480	美國和西方世界最大的威脅中共排第一
261360	263920	伊朗應該和俄羅斯並排第二
263920	265560	然後才是北朝鮮
268040	271560	這個世界會更加動盪不安
271880	274000	直到共產黨被消滅為止
274680	277040	世界的經濟崩塌的時候
277520	281600	北朝鮮和俄羅斯和中共國的蠢蠢移動
282440	286360	和伊朗對整個世界石油能源的整個的侵略
286720	287720	會嚇死
289560	292000	啥都不佛了走著看還是那就好
292400	294240	誰想要冒險咋想走著看
294800	298280	你若有本事裂平手可甩啥不佛了
