start	end	text
0	6000	哎呀 哇塞 啊 兄弟姐妹們大家好
6000	11000	7月2號 7月2號 拜拜了 真快呀 真快呀
11000	16000	這香港25週年 痛苦的日子
16000	18000	已經進入了第二天
18000	23000	有啥過不去嘞 沒啥過不去嘞
23000	27000	哎呀 這人吶 你說這準備了一國之力啊
27000	31000	準備了所謂的香港25週年慶祝活動
31000	35000	你那一天 有多偉大呢
35000	39000	啊 過去了 成了全人類的笑話
39000	44000	大家再看看這幾天這個所謂的股票股市
44000	51000	外匯股市 全世界都在欺騙
51000	54000	你看看那個股市
55000	58000	好 你看看那個股市
58000	62000	咦 打糊塗 都在做呀 都在做局呀
62000	67000	大家看到那個 你們都喜歡的
67000	71000	Global Fondation AMD 空股東
71000	74000	在阿布達比特也跌了一半
74000	80000	為啥呢 為啥呢 為啥呢
80000	82000	大家想明白了嗎
83000	90000	量子量算 新的貨幣時代 數字化時代到來
90000	94000	再給你看看歐洲 你看看日本 你看看美國
94000	98000	一系列的貨幣數字化
98000	102000	也就是區塊鏈數字化的貨幣時代
102000	105000	誰也擋不住
106000	112000	你若不相信呢 咱們走著看
112000	116000	你若有本事 別北市喝船
116000	118000	咱們走著看
118000	122000	在這個世界 最牛的人就是沒打苗
122000	126000	最牛的人就是能跟得住時代的步伐
126000	130000	數字化的貨幣時代到來 誰能擋住
130000	133000	現在歐洲研究所搬家研究所去 管
133000	135000	管 徹底管住 不可能
135000	138000	最後滴下什麼 合作
138000	142000	共產黨所說的是 叫做疏導
142000	146000	我整不住你了 我疏導你 我收買你 我併購你
146000	150000	我影響你 我滲透到你和我一起
152000	154000	所以說 兄弟姐妹們
154000	157000	人最可怕的是人云亦云
157000	160000	人家說壞你也說壞 人家說好你也好
160000	163000	是個世界上所有的奴隸
163000	167000	所有的人和高低之分 貴族之分 貧賤之分
167000	170000	關鍵的問題 你是否能堅持你自己
170000	172000	能be yourself
172000	177000	還有個能真正的變 真假 實 善 惡
177000	179000	這是根本的問題
179000	182000	在這問題上 老天爺是絕對公平的
182000	187000	你是否善待別人了 你是否心存善良
187000	190000	你是否公正的對待別人了
190000	193000	老天爺最後一定拿算盤給你算的
193000	195000	如果你們要是不相信
195000	198000	好好看看世界所有的宗教
198000	203000	對你是否行過善 心存過善
203000	207000	還有一個 就是你貪嗔痴漫瘾
207000	209000	五相 不是戰友說的大相的相
209000	213000	是相貌的相 五毒五相
213000	220000	就是你的想法和毒和壞的那些表現
220000	224000	其實你心裡想了 跟做沒差兩樣
224000	227000	所以說你一聲唸起
227000	231000	一聲惡念和善念都是一樣的結果
231000	233000	都會跟你算賬 不用相信
233000	236000	中國人什麼都不信 不信試試
236000	238000	我深信不疑
238000	242000	我經歷過看書書 我更加深信不疑
242000	245000	你心存了善念 心存了惡念
245000	248000	最終是給你算賬了 一定會算賬了
248000	251000	那共產黨就別提了
251000	254000	共產黨嚴格講就是人間的地獄
254000	258000	真的是懲罰那些不實真假
258000	262000	不變善惡的那些中國人
262000	264000	地獄都裝不下了
264000	266000	你看看在香港演的那些戲
266000	268000	你看看香港人的被威脅
268000	272000	明星啊 四大不要臉家族習術出席
272000	277000	盡情的表演他們的不要臉 沒有良知
