start	end	text
0	5400	6月13号 尊敬的战友们好 尊敬的战友们好
5400	11600	哎呀 这个事儿 我刚刚大概从今天早上到现在
11600	17400	将近四个小时的会 昨天晚上大概有将近40分钟的会
17400	24200	真是我这感觉真是 哎呀 这个人呐 知道太多也不好
24200	27600	知道太多也不好 这有时候挺烦人的啊
28000	31200	你比如说昨天到今天早上开会
31200	35000	都是关于你这个数字货币市场啊 金融市场啊
35000	37300	还有这些基金啊 过去的朋友啊
37300	41600	这会儿都觉得七哥知道的多 都想问问七哥
41600	44600	其实七哥也没有啥本事 对吧
44600	48500	也没那么有本事 只是我知道的多
48500	51200	比如有些情报比较准确 所以都问
52400	54900	可剩的说实在话真累啊
55000	57900	你说那么多人问你的时候要不给钱
57900	59600	你也不能要钱 是吧
59600	62900	但是你负有很大的压力 负有很大的责任
62900	65100	但是想想对他心中的联邦挺好 是吧
65100	69400	多些朋友嘛 那么这些主要是看到
69400	72800	在上周的时候 我在直播中给大家说过啊
72800	75500	我说从五月份开始 今年五月份
75500	79800	你会真正的感到一步又一步的黑暗的到来
79800	82500	这些所有的东西都跟共产党分不开
82500	84600	很多人是认不清楚的
84600	87500	如果有人去过德国的啊
87500	90100	那个整个的当年集中营
90100	93100	就是杀犹太人的官级犹太人集中营
93100	94900	那里边有很多所谓的审判
96100	98200	就那里边有很多人的心得
98200	99500	我去过那里看过以后
99500	102500	我觉得真的是这个希特勒太疯狂了
102500	104000	但是很遗憾的事情
104000	105300	为什么当时的疯狂
105300	110000	全世界都知道他疯狂 竟然的疯狂下去
110000	113700	而且很多犹太人 您知道可能就是死路
113700	115500	但还抱着侥幸心里
115500	121100	以为希特勒说的将送你去一个美丽的地方
121100	121900	美丽的地方
121900	124400	跟结果那一样 是吧
124400	126800	结果呢 道道都被杀掉了 是吧
129900	131600	这种无知啊
131600	134300	这种无知还有这一切
134300	136100	它是有很多原因的
136100	137200	那么就这几天
137200	139800	就像刚刚过去的这几个小时
139800	144000	还在侥幸什么 买这个买那个
144000	145100	我告诉他们
145100	146700	你们这人都大势已驱
147700	148700	都大势已驱
149900	154300	我说三个 三个枷锁已经套在了你的脖子上
154300	156900	这是你们过几十年做金融贪婪
156900	158300	害死那么多人的报应
159700	160300	第一条
161700	165800	你们投集大量的所谓的金融票据
165800	167900	叫信用票据
168000	170800	整个西方世界的金融界的信用票据
170800	173000	这次会是个最大的灾难的开始
174900	177000	就像恒大 是吧
177000	181200	中国融创 万达 民生
181200	185000	陆金属 平安 腾讯
185000	187100	阿里巴巴 一大堆的金融票据
187100	188600	金融票据不就是纸嘛
188600	190400	就是信用嘛
190400	193400	然后美国各个基金之间
193400	194900	所有信用就是骗局
194900	197100	就是纸 一个承诺
197100	199300	信用一旦巨大的违约
199300	200400	信用风险出现
200400	201600	它是一个系统性的
202800	204400	而背后又有共产党 是吧
204400	205700	这一条就完了
205700	207000	第一条枷锁
207000	208300	第二条枷锁
208300	209200	我说现在你记住
209200	211000	全世界会大粮食危机
212600	213700	粮食危机
213700	215700	你看到很多在石油上赚的钱了
215700	218300	我说昨天晚上我告诉那个赚石油赚钱的人
218300	219000	我说你赚多少钱
219000	220900	我说赚七十亿
220900	222400	我说你基金现在多少钱
222400	224100	他说大概在两千多亿
224100	226000	我说你两千亿都赔光
226000	228500	你都付不完你的七十亿赚的钱
228500	230000	他说为什么
230000	230800	他说我不相信
230800	232600	我就我把我钱赔出去
232600	234700	我把我散场就完了吗
234700	235500	我说你怎么看
236800	238400	石油
238400	239800	在今天这个时代
241000	242500	屁都不算
242500	245700	在这个未来的三五年内会非常的牛叉
245700	247700	但是它的up down up down
249200	252200	up down就现在我们和共产党游戏一样
252200	254500	新中国联邦day day up
254600	256600	共产党day day down
256600	258600	day day down day day down
258600	260600	石油就是一个就是一天
260600	263000	day day up day day down day day up day day down
264400	265900	为什么
265900	268100	大量的世界的失业
268100	268900	生产
268900	269600	贸易
269600	271100	战争
271100	273000	石油不就是上上下下
273000	275400	你投机怎么可能每次都能猜准
275400	276500	怎么可能
276500	280500	而且最终是那石油是被新能源所替代
280500	282000	你短暂的投机
282000	284100	你将为你所有那些期货
284100	288600	还有那个金融的所有的各种有关石油的金融产品
288600	290300	你这赚了那赔
290300	292900	最后你就跳来跳去之后一下子才不准
292900	294300	夸杀全赔进去
294300	295700	你赔进去的
295700	297200	大家记住啊
297200	299900	特别是这些签对赌的
299900	301500	搞对赌的
301500	303100	还有做空的
303100	306100	那是赔无上限
306100	307800	赚有下限
307800	309600	赚多少是有限度的
309600	312700	你不可能赚超过这个股市的百分之一千百分之二
312700	314300	不可能的
314300	314700	是吧
314700	317300	但你赔是可能的
317300	319100	你赔是可能的
319100	321200	这不是开玩笑的
321200	324900	那么石油这个这一关能源这关不是吧
324900	325900	最后一秒
325900	328200	你这两关你都赚了
328200	331400	信用风险金融崩塌全球性的
331400	332800	共产党的设计号
332800	333300	第二个
333300	336900	你所有的大限量的期货做空
336900	338500	所有的这些东西
338500	340000	金融风险金融崩溃
340000	342100	所有的你再能够
342100	344300	你能过得了疫苗这一关
344300	345400	你都打着疫苗
347500	349900	所以说他这没办法
349900	351600	那么从昨天晚上大家看到了
351600	354000	就是场外的交易
354000	355400	永远记得玩大买卖
355400	356400	都是玩场外交易的
356400	359500	场内交易都是骗那些小人物的
359500	361000	场外的这些交易的
361000	365800	所有的几乎是赔的一塌糊涂
365800	367000	我就在跟他开会
