start	end	text
0	9160	尊敬的戰友們好啊 8月25號 8月25號 哇塞
9160	13920	今天陽光明媚啊 太漂亮了 紐約 太美了 太美了
14880	19360	哎呀 這個昨天直播完以後 驚濤不浪啊
19920	24720	所以說這是中國人那個悲哀 是吧 你爆多大的料
24760	27440	啊 都這個關注量沒那麼大
27440	32800	但是昨天有史以來 有史以來 不超過5次的大直播
33240	38680	由於我們也預告了啊 這個國內的VPN全部被封
39880	44120	但是呢 它影響不了川普 最後還是穿播進去了啊
44640	47040	咱有辦法知道 咱也會知道
47840	52480	就因為一個宋楚英和楊瀾啊 就因為兩個女的
52920	59520	加曾慶紅 加繞本山 加王敏 加曾維 是吧
59840	62680	就火了 就火了 你咋辦
63800	68920	在昨天這個直播 絕對中國人得看N遍 還不會看一遍
70080	72080	死多少人的事兒 沒得看
73920	79640	然後昨天很多銀行界都找我 啊 很多說情的也找我 是吧
80600	87440	確實啊 中國的明星啊 女人吶 真值錢吶 真值錢
87880	92040	中國老百姓的命 連個屁都不是 屁都不是
92520	95320	悲哀 悲劇 悲劇
96640	101680	同樣的事情是 這兩天我覺得真的是太震撼了
102080	107360	無論是新加坡 馬來西亞 日本 印度尼西亞
107400	112680	包括非洲 歐洲 啊 很多朋友 戰友都說
113120	119480	他們老是參加葬禮去 最近的全世界參加葬禮的人就多
120880	124440	討論這個乾旱天氣變化的人多
125160	129840	但是呢 就很多人不要說疫苗死亡 疫苗災難
130840	133520	啊 悲哀 悲哀
134280	137440	這麼大的人類 70多億人口
137880	140680	沒有幾個人敢面對這個真實的現象
142240	145960	所以說咱們新中國聯邦有多重要 兄弟兄弟 有多重要
148080	156240	不但如此 大家看到國內這種乾旱的 穿玉整個乾旱
156720	163360	到處裝甲肯定不能豐收 包括美國 包括歐洲 到處乾旱
164920	169800	真的是疫苗災難和這個全球的乾旱
170920	173880	和面臨的大饑荒和核武戰爭
174840	180880	到底和大家過去這些年 貪婪 自私 腐敗
181880	190880	失去信仰 容忍和包容共產黨在新疆 西藏 香港 臺灣的大屠殺
190880	197880	有沒有什麼直接關係呢 有輪迴嗎 有報應嗎
198880	203880	大家想吧 新中國聯邦人真的要感謝
204480	208480	在這個最關鍵的人類的全球的歷史時刻
209480	212480	我們無苗 而且我們還有平臺
213480	220480	還能聽到重要的來自於同類共同信仰的朋友們
221480	228480	知己們的聲音和真相 還要維持自己的信仰 是吧
229480	237480	多幸福啊 啊 而且能有一個共同的追求消滅中國共產黨
238480	240480	就真的有時候想想啊
240480	246480	75億的人類的媒體 科學家都幹什麼去了呢
246480	253480	那些精英聰明的人呢 人類能這樣下去嗎
253480	262480	漂亮的曼哈頓 每天燒多少電 燒多少油 排多少二氧化碳
263480	269480	啊 太可怕了 人類到了一個關鍵點
