start	end	text
0	2000	尊敬的戰友們好啊
2000	4000	12月30號
6000	8000	哎呀 這兩天啊
8000	10000	這個事兒太多了
10000	12000	這個今天抱歉上午
12000	14000	這一堆的事情剛把會開完
14000	16000	這個今天接下來下午
16000	18000	還有好多事情
18000	20000	這個都是國內的事情
20000	22000	真是很驚訝啊
22000	24000	就是現在這個美國有了
24000	26000	這個第二例
26000	28000	我往這兒
28000	30000	第二例的這個
30000	32000	新的並低劣新型病毒
32000	34000	已經被發現了
34000	36000	這是第二個國家啊
36000	38000	繼這個英國之後
38000	40000	我們這一年內
40000	42000	我們所有的對病毒的
42000	44000	整個的說法啊
44000	46000	和情報百分之百準確
48000	50000	你說什麼人什麼樣的情報機構
50000	52000	全人類
52000	54000	像我們爆料革命新中國聯邦
54000	56000	一樣路德訪談
56000	58000	把所有的人類上
58000	60000	最大的威脅共產黨病毒
60000	62000	什麼時候發生
62000	64000	將會發生什麼
64000	66000	第二種病毒我們這顏博士
66000	68000	我們的天使科學家
68000	70000	準確的告訴大家
70000	72000	但是人類一年來
72000	74000	在等待著CCP病毒的
74000	76000	扼殺全球處在
76000	78000	官僚之中
78000	80000	悲劇啊
80000	82000	聽說這John Paulson
82000	84000	英國又要演講演講個屁用啊
84000	86000	在這點上真的是太可怕了啊
86000	88000	更讓人可怕的事情
88000	90000	每次歐洲
90000	92000	英國西方世界
92000	94000	在面對病毒
94000	96000	和病情啊
96000	98000	爆發死亡人數增加的時候
100000	102000	來自於病原族的初始國
102000	104000	中共我們的祖國
104000	106000	共產黨的
106000	108000	整個的視頻和媒體
108000	110000	一片歡呼
110000	112000	從美國爆出來
112000	114000	美國爆出來有第一類病毒
114000	116000	第二種病毒以後
116000	118000	檢查出來
118000	120000	新病毒
120000	122000	整個中共國被洗腦的老百姓
122000	124000	一片歡呼之聲
124000	126000	不管是有錢還是沒錢的
126000	128000	有飯吃沒有要飯吃都這樣
128000	130000	就共產黨
130000	132000	這八年這五六年
132000	134000	成功的把中國人洗腦
136000	138000	把中國人
138000	140000	和美國和全世界對抗
140000	142000	甚至走向
142000	144000	更加危險的種族
146000	148000	種族色別
148000	150000	的皮膚色別
150000	152000	宗教的仇恨
152000	154000	前所未有
154000	156000	中國人知道不知道
156000	158000	這意味著什麼
158000	160000	意味著你跟在全世界為敵
160000	162000	付出代價是你的孩子
162000	164000	海外的華人
164000	166000	歐洲的
166000	168000	在美國的華人
168000	170000	現在有大量的人轉發
170000	172000	從昨天晚上到現在很多美國朋友
172000	174000	歐洲朋友說你們中國人
174000	176000	待在我們國家為什麼那麼
176000	178000	恨我們我說他們被
178000	180000	洗腦了他們為什麼洗腦
180000	182000	他都不能死他們還那麼開心
186000	188000	這個問題我也想
188000	190000	問他們就是共產主義
190000	192000	嗎
192000	194000	現在只有爆料革命
194000	196000	心路聯盟在呼籲
196000	198000	不要給全世界建立
198000	200000	這麼大的仇恨
200000	202000	你的子孫你的子女
202000	204000	承受不起
204000	206000	中華民族承受不起
208000	210000	但是你看著悲劇呀
210000	212000	在病毒面前
212000	214000	欺民賊
214000	216000	30年伸手捐款
216000	218000	捐不捐款黨
218000	220000	每一人站出來為
220000	222000	病毒來說句公道話
222000	224000	這病毒來自
224000	226000	咱中國知道嗎
226000	228000	人家染上病
228000	230000	你咋就這麼開心呢
232000	234000	人家沒追究你
234000	236000	沒跟你戰爭
236000	238000	沒歧視你華人
238000	240000	你還希望人家
240000	242000	死越多人越好
242000	244000	這是何等的荒唐啊
246000	248000	這還是人嗎
248000	250000	在國內的人
250000	252000	以為病毒致死人家不死自己
252000	254000	你不知道下一個可能就是你
256000	258000	所以說親愛的兄弟姐妹們
258000	260000	共產黨的病毒
260000	262000	和對中國人的洗腦
262000	264000	和中國人對真
264000	266000	假
266000	268000	善惡的判斷能力
268000	270000	已經喪失殆盡
270000	272000	起碼的人性已經沒了
274000	276000	新中國聯盟爆料革命
276000	278000	任中道遠
278000	280000	我們能做到的
280000	282000	和我們已經做到的
282000	284000	從來沒人做到過
284000	286000	也沒有人去做
286000	288000	爆料革命的所有兄弟姐妹戰友們
288000	290000	不要因此放棄
290000	292000	氣餒
292000	294000	壞人會層出不窮
294000	296000	但好人永遠比壞人多
296000	298000	最後正義一定
298000	300000	戰勝邪惡
300000	302000	我深信不疑
302000	304000	包括爆料革命出現著一個個的荒唐的
304000	306000	滑稽的事情
306000	308000	最終上天真的會讓他們
308000	310000	他們的面目他們會真正的受到懲罰
312000	314000	什麼叫對錯
314000	316000	你把手收到人家腰包裡面去
316000	318000	無償的獲得別人的財富
318000	320000	你是錯的
320000	322000	讓人家為你不勞而
322000	324000	無力而動
